,ID,发表时间,满意度,评论
0,16593988268,2021-11-07 18:05:11,5,"戴尔游匣G15 5511搭载英特尔酷睿i7-11800H旗舰处理器，8核16线程，配合Nvidia的RTX 3060显卡，还可以开显卡直连，性能强劲。还自带一个雷电4接口，有较好的可扩展性。
画面品质：100%sRGB超高色域的165Hz高刷屏幕，显示效果很棒。"
1,16570224889,2021-11-04 00:02:16,5,"1.戴尔游匣G15运行速度非常流畅，浏览网页看视频一点也不卡顿，屏幕采用14英寸LED背光，4芯锂离子电池，超长续航，而且散热效果非常明显，金属机身尽显简约潮流质感，纤薄美观，便于携带。
2.戴尔游匣G15外壳特别好看，键盘手感也还可以不输，秒开机，操作流畅，没有任何卡顿幕色彩艳丽，多任务处理效果非常不错。
3.戴尔游匣G15运行速度很快，屏幕色彩鲜艳，画面播放很柔和，外观比较符合年轻人审美，大气又不失时尚，整体很轻，一点都不重。
4.戴尔游匣G15超窄边框视觉冲击感强，而且也大大减轻了重量。性能强劲，做工优秀，整个本子给我的感觉就是高级，非常适合年轻人的审美。
买回来之后，打开非常的好，运行快，东西都可以使用，可以玩起来的游戏也很多，值得购买&nbsp"
2,16564499477,2021-11-03 08:23:33,5,"临近双十一经过一周对比和咨询,决心买这个性价比很高的游戏本,作为我设计的专用电脑,安装大型建模, P 图, CAD 等软件,非常流畅,屏幕大,看着舒服,效果比台式有过之而无不及,散热也非常好,没有噪音,三个 USB 接口,满足大部分用户需求,脑收到了,而且京东神速啊,8点付的尾款,第二天就送到了,电脑外观很流畅,打开速度也是非常快,16G的超大内存,5/2G的固态硬盘,还有背光键盘,屏幕还是蓝光保护的,真是性价比高啊,不错不错,很满意"
3,16555395070,2021-11-01 21:52:31,5,"包装保护：严实，保护得很好。
外形外观：朴实、简约大方。
画面品质：清晰，不晃眼。
跑分评测：还没跑。
运行速度：开机很快
游戏效果：还末测试。"
4,16551811213,2021-11-01 12:43:04,5,"电脑收到了，京东真的很快，昨天结的尾款，第二天上午就送到了，很幸运赶上双11活动，付定金便宜了好多，电脑外观非常喜欢，开机速度也是非常快
英特尔11代酷睿真的非常流畅，太牛了，背光键盘，屏幕还是蓝光保护的，性价比真高，很满意！"
5,16512617472,2021-10-24 19:11:14,5,笔记本很满意，挑了好久中意这款戴尔G15游戏本，本来是想给媳妇儿买来看动画片的，结果到手打了游戏也非常爽，爱了爱了，最新11代英特尔压处理器很完美，运行速度也很快，15.6大屏幕看着不错，有光键盘，散热声音很小，总体都很不错
6,16554523447,2021-11-01 19:47:25,5,11代酷睿外观很炫酷，性能可以说是在3050最性价比的了，入手不翻车，双十一入手的，身边朋友推荐的，身边朋友也都在用，想要不贵性价比好的可以入手，真心喜欢，玩游戏不卡顿，很流畅，很清晰，散热性强?，设计感超棒，插入口很全。快冲兄弟们。
7,16585456859,2021-11-06 11:48:03,5,大品牌值得信赖，颜值高，配置高，运行流畅，开机速度很快，屏幕超好。学设计的，比较了几个品牌，最终选择的戴尔，独立显卡应该够用了，比较满意。
8,16024859251,2021-07-22 12:06:18,5,电脑很快收到了，还是京东快递快，包装严实，拆开测试一下，电脑配置高，功能十分强大，外观设计十分惊艳，画质细致柔腻，运行速度快，十分满意，是我心仪的电脑.
9,16593215215,2021-11-07 16:20:11,5,"不得不说，本款机器很流畅，吃鸡联盟毫无压力，搭载英特尔酷睿很流畅，11代酷睿i5很能打，还有3050ti显卡，高刷，高色域，要的需求它都能满足，外观很nice,价格很香，很满意。"
10,16288804274,2021-09-11 19:13:09,5,机器很不错哦，收到了用了几天才来进行评价，京东包装超好，物流也很快，第一天下午下单，第二天上午就收到机器了，开机超快，玩游戏也很爽，很喜欢，用过戴尔的机器，确实不错，值得推荐，希望小伙伴们都买到自己喜欢的机器
11,16554329312,2021-11-01 19:17:31,5,昨天下单的电脑，今天就收到了，物流很快，包装完好无损。收到后，马上就拆开测试一下，不得不说，11代英特尔酷睿的处理真的很强大，开机超快，画质流畅，运行速度很快。我是买来做图的，做图运行毫无压力，性价比真的很高，比我之前那台快很多，非常实用。
12,15824690718,2021-06-18 03:40:59,5,电脑收到，包装很结实，很好的保护了运送途中的产品。电脑收到后查看了外包装和内包装，是新品正品。开机测试效果很理想，满血3060显卡，外星人控制中心，彩色背光键盘，都很炫。对于游戏本来说重量不重，背在书包里都还行。一键开启Game模式，确实散热风扇会转起来有声音，但是还可以接受。整体效果不错，用它玩游戏跟顺滑，特效全开，算程序满线程全跑也很爽，一次很不错的购物体验，值得推荐！蹲一波显卡直连，就更完美了
13,16527603156,2021-10-27 18:00:13,5,五星好评，上午买的，下午就到了。电池充电次数也在正常范围之内，十一代i5酷睿处理器，3050ti显卡，玩原神csgo开全高毫无压力就算不玩游戏，作为办公学习使用也是可以的。
14,16059312738,2021-07-30 12:30:11,5,太酷了，戴尔游匣G15的机身A面有着夺目的戴尔标识，再加上290道平行线构成等腰三角形，让其颜值进一步提升。 戴尔游匣G15的机身为&ldquo虫形纹理&rdquo，这种肌理图形可以有效减少指纹残留，让玩家的操控手感更舒适。 在手感方面，游匣G15在键盘触感做的也很突出，键盘拥有着1.4mm键程，让游戏玩家可以更加精准有力的操控按键，同时键盘的反应速度也是非常迅速。游匣G15拥有独特的散热涉及，采用双进气与四排气口，这样的散热设计相比传统的单一进气口来说空气排量更大，并且对CPU和GPU起到了针对性的散热，而高配置版的叶片直径更可达56mm，扇叶数多大53片，这些都让游匣G15的运行速度得到了大幅度的提升，画面流畅度也更加稳定。在显示屏方面，戴尔游匣G15配备了15.6英寸的高清屏幕，轻松加载大型游戏。硬件方面，搭载的显卡是NVIDIA高性能RTX30系显卡，其高性能版本性能释放值可达到115W，在DynamicBoost的配合下，可实现更高亢的性能输出；处理器则是英特尔第十一代酷睿处理器。满意~
15,16551745607,2021-11-01 12:31:53,5,显卡 .3060游戏状态非常满意，性能上没有任何问题，11代酷睿1180性能足够使用了，固态硬盘开机速度快 ，看了很久坚定下手，非常满意，满意，目前没有问题
16,15686940144,2021-05-18 11:27:28,3,如果可以远程协助就好了
