,ID,发表时间,满意度,评论
0,16638097991,2021-11-13 23:10:36,5,"联想笔记本电脑性价比高，到货第一时间拆封使用很满意
屏幕效果：屏幕尺寸大，色彩饱和度调试的很到位。
散热性能：玩游戏散热风扇转速很快，偶然有些发烫，正常办公可以满足散热需求
外形外观：主打商务本设计的不算很亮眼
其他特色：有黑科技加持，满意"
1,16585888741,2021-11-06 13:05:26,5,材质亲肤的，摸着很舒服，用起来非常轻便，适合长期出差的人士，已经用了几天了，开机速度快，散热很快，风扇基本没有什么声音，键盘手感真的非常好！
2,16585927217,2021-11-06 13:11:11,5,非常经典的小黑笔记本，重量很轻，很薄，方便携带，好用，刚拿到手就打开了，手感很好，运行很稳定，卖家还送了好几样小配件，非常满意！
3,16639926973,2021-11-14 11:21:50,5,喜欢联想老品牌，高端大气上档次。质量有保障。开机散热速度都很快，运行速度也很快。界面清晰，很好用。音响效果也特别棒。有需要会回购。
4,16639906085,2021-11-14 11:21:13,5,非常轻薄，整体机身感觉非常有质感，金属材质。背光键盘在黑夜里使用都可以顺畅。开箱真的惊艳到我了，是我喜欢的类型。运行速度快，屏幕效果非常清晰。包装盒也是很有创意，非常高档。系统里自带了 Office和电脑管家，装软件都很方便。上一架笔记本也是在京东买的thinkpad，真的是10年过去了还坚挺着期间只换过一次cpu风扇，现在一家人的笔记本全是thinkpad，质量杠杠的！！！推荐购买哟！！！
5,16659510132,2021-11-16 13:29:59,5,上手几天了，说说使用感受：轻薄，非常便携，很庆幸选了x系列；这块高清屏确实艳丽，清晰，通透，比以前的tn屏幕好了太多！还有，续航能力强，非常强，轻度使用两三天不用充电！4g版带的office 2019确实优化的非好好用，耐看。总之体验不错
6,16659361813,2021-11-16 13:10:58,5,电脑很不错，运行速度很快，性能够用，办公用快到飞起，ps使用也可以的，工作累了打个游戏啥的也很流畅，好用，科技感十足。很轻薄，续航给力，出差用特别合适。
7,16648516889,2021-11-15 12:42:49,5,收到电脑非常满意。外观上档次，设计流畅，做工精细，机体轻薄方便携带，价格实惠，屏幕清晰，颜色纯正无，视觉效果好，看视频，电影无眼疲劳，机体散热性能强，连续开机4小时都没有明显发热，客服服务耐心，这款电脑电脑值得拥有，值得推荐，全五分
8,16657279919,2021-11-16 10:05:04,5,"运行速度：运行流畅不卡顿
屏幕效果：屏幕清晰，色彩鲜艳
散热性能：散热很好
外形外观：外观简洁大方
轻薄程度：轻薄款，手感很好"
9,16650750157,2021-11-15 16:33:40,5,"运行速度：流畅不卡顿
屏幕效果：真， 色彩度清晰
散热性能：好，散的快
外形外观：很有设计感
轻薄程度：轻薄，携带方便"
10,16654399271,2021-11-15 20:51:13,5,"运行速度：运行速度很快，不卡顿
屏幕效果：屏幕显示很清晰很炫酷高清屏
散热性能：散热比较好，玩游戏不会发烫
轻薄程度：比较轻薄"
11,16663653939,2021-11-16 17:33:30,5,买个电脑就为了出差方便，电脑真的很轻薄，携带很方便。随时都可以拿出来用。很灵敏，很清晰，开机很快，外观好，散热好，整体满意。
12,16648132417,2021-11-15 11:53:38,5,"联想笔记本到货快，和实体店一样外形外观：想象中的高端大气上档次，
产品包装：很好，设备完好无损。说好的配件，以及赠品一应俱全，心情很好滴！
运行速度：运行速度非常满意，所有的编辑软件运行很爽滴！
兼容性能：很好，满意滴！
散热效果：毋庸置疑，风扇声音很小，感觉很舒服。
稳定性能：这个要使用一段时间再评论吧！"
13,16648558707,2021-11-15 12:48:02,5,笔记本太完美了，操作流畅，非常适合，流畅运行，桌面清新，无卡顿，清晰度高，护眼模式应有尽有。真是太优秀了。买到手绝对会惊艳。
14,16678815676,2021-11-18 12:59:18,5,"运行速度：开网页打开快速
散热性能：用几个小时了还不是很热，很好了
外形外观：颜值高是我喜欢的款
轻薄程度：很轻很薄，比以前的笔记本轻好多"
15,16661284039,2021-11-16 15:30:05,5,电脑包装很好，物流很快，已经拆封使用效果好好。开机速度快，运行流畅，主机散热快，风扇声音小。玩半天游泳也不卡，屏幕清晰，性价比杠杠的。颜值担当，品质保证
16,16663333503,2021-11-16 17:12:06,5,电脑收到了，很好用。速度也不卡。老公用它玩了一局游戏，也很流畅，画质也开到满。电脑运行起来噪音很小，散热性也不赖，真心好用。
17,16657212928,2021-11-16 09:56:33,5,电脑收到了，用了几天，感觉挺不错的，首先外观设计挺轻薄的，散热性很好，玩几个小时游戏都没有发热的情况出现，另外配置也不错，运行挺顺畅的，基本上能满足我的需求
18,16657416322,2021-11-16 10:22:24,5,电脑收到了，外观很漂亮，手感摸起来很舒服，运行速度也很快，十分流畅，还送了office很不错，总之很漂亮，值得入手。携带很方便，性能日常使用足够，挺好的。
19,16657113731,2021-11-16 09:44:57,5,"运行速度：开机快，玩游戏也很流畅

屏幕效果：分辨率高，显示效果很好
散热性能：充电一次，续航能力还行，散热也行"
